Pickup_date	Count
2016-05-25	44759
2015-05-20	51229
2015-08-04	42253
2013-10-04	3869
2013-10-12	5377
2013-10-20	5900
2015-02-22	53861
2016-01-25	42944
2015-01-28	42508
2016-01-15	52719
2016-12-01	39540
2014-09-19	52171
2016-02-20	66513
2015-05-27	49071
2016-10-04	31040
2013-09-07	1104
2014-05-06	37849
2016-06-25	58952
2015-08-25	38988
2015-08-05	43758
2014-12-13	73355
2015-03-31	51135
2013-09-04	770
2013-12-06	20582
2016-11-20	42889
2014-04-24	41826
2016-02-01	42456
2014-10-01	42632
2016-07-22	48816
2016-11-11	43210
2014-04-19	52701
2015-06-14	63489
2016-01-16	59626
2014-03-31	35273
2015-01-01	62943
2014-06-25	41042
2014-10-04	52350
2013-10-08	3235
2016-08-25	37930
2016-04-21	47334
2015-03-25	50370
2016-01-10	49877
2014-11-14	58881
2016-03-09	45284
2014-06-01	48404
2015-02-21	64136
2014-09-30	38727
2015-07-05	51192
2016-05-22	52573
2015-03-30	45070
2014-06-07	58886
2016-01-18	38913
2013-08-20	220
2015-11-09	41147
2014-07-08	35807
2015-01-18	55068
2015-03-29	61984
2014-06-16	36447
2016-09-20	33684
2016-09-29	38613
2014-03-20	39491
2016-07-28	42979
2015-08-18	40956
2013-11-10	11007
2015-01-09	53591
2014-02-01	40942
2014-04-21	32683
2015-08-28	51835
2016-02-27	67411
2014-05-16	53685
2016-02-16	42679
2014-06-08	49373
2014-08-12	36215
2015-01-27	15406
2014-04-23	40064
2015-02-08	56341
2015-12-18	67735
2016-10-18	33411
2016-10-25	35734
2014-10-02	44965
2015-05-08	63470
2016-01-07	42811
2015-06-08	45686
2016-04-10	56024
2016-01-09	56861
2016-12-23	43206
2016-10-01	50873
2016-09-07	34362
2013-09-17	1498
2015-04-05	58745
2014-12-06	72503
2014-06-06	50037
2013-12-02	13877
2015-08-29	61137
2014-05-13	38013
2015-06-16	45704
2016-06-01	42869
2016-05-18	46099
2014-01-17	31040
2014-11-18	47132
2014-04-06	47171
2015-08-23	54477
2014-08-31	48407
2013-11-21	13576
2013-10-30	7841
2016-06-04	66186
2015-06-29	41397
2014-11-05	43758
2015-11-01	62797
2013-12-24	24222
2013-11-08	12624
2015-09-18	57537
2015-06-02	49962
2014-05-09	51142
2015-04-04	68373
2016-09-04	36926
2015-10-15	49586
2016-10-15	51664
2016-12-26	23392
2016-06-20	38499
2014-09-09	37740
2015-05-30	73086
2014-01-01	25608
2016-04-27	42607
2015-03-03	51223
2015-09-25	54180
2015-01-07	47802
2014-02-14	45177
2014-12-01	44721
2015-11-23	45431
2016-07-25	37987
2016-11-03	39459
2013-11-04	8988
2015-05-07	54721
2014-05-10	58686
2016-08-28	40702
2016-05-06	60060
2014-03-24	35662
2013-08-24	420
2016-06-07	40615
2016-09-11	41266
2014-03-12	37822
2014-07-19	52743
2016-12-07	36563
2014-05-19	36476
2016-03-18	57699
2015-11-12	49557
2015-11-14	70289
2015-11-16	41105
2013-10-02	3370
2016-07-09	52710
2016-11-09	36401
2014-07-12	54446
2013-11-13	11651
2014-03-11	33376
2014-03-15	53583
2014-08-30	53895
2014-02-02	34846
2014-06-29	46128
2016-03-29	43788
2014-01-04	23697
2014-01-07	22719
2015-07-07	41372
2015-06-18	50191
2014-09-27	61333
2014-01-27	25520
2016-06-06	38993
2016-03-23	44630
2013-12-10	15258
2014-04-04	51783
2016-11-22	37365
2016-07-15	48453
2015-01-31	70797
2015-11-05	49863
2015-10-06	42044
2013-09-28	3454
2015-08-15	65254
2015-06-10	48296
2015-05-17	61746
2016-11-16	35690
2016-10-02	41637
